Subj,Condition,Lesson1.Pre,Lesson1.Post,Lesson2.Pre,Lesson2.Post,DeviceOrderC,SystemOrderC,SystemDeviceC,Lesson1,Lesson2,PCLesson,VRLesson,VisualLesson,AuditoryLesson,Visual.Pre,Auditory.Pre,Experiment,TestingDevice
45,2DV3DA,10,14.5,5.5,14,0,0,0,4.5,8.5,4.5,8.5,4.5,8.5,10,5.5,2,2
49,2DV3DA,13,17,7.67,15.5,0,0,0,4,7.83,4,7.83,4,7.83,13,7.67,2,2
6,2DA3DV,9.5,16,10,17,0,1,1,6.5,7,6.5,7,7,6.5,10,9.5,2,2
10,2DA3DV,3,7.5,8.5,13,0,1,1,4.5,4.5,4.5,4.5,4.5,4.5,8.5,3,2,2
14,2DA3DV,5.5,12.5,9.5,16,0,1,1,7,6.5,7,6.5,6.5,7,9.5,5.5,2,2
26,2DA3DV,7.33,8.58,6,12.5,0,1,1,1.25,6.5,1.25,6.5,6.5,1.25,6,7.33,2,2
30,2DA3DV,5,11,7.75,15,0,1,1,6,7.25,6,7.25,7.25,6,7.75,5,2,2
38,2DA3DV,9.33,15,14,18,0,1,1,5.67,4,5.67,4,4,5.67,14,9.33,2,2
42,2DA3DV,5.33,10.67,15.25,18,0,1,1,5.34,2.75,5.34,2.75,2.75,5.34,15.25,5.33,2,2
46,2DA3DV,5.67,15,11.5,16.5,0,1,1,9.33,5,9.33,5,5,9.33,11.5,5.67,2,2
50,2DA3DV,8,16,13.5,17,0,1,1,8,3.5,8,3.5,3.5,8,13.5,8,2,2
54,2DA3DV,5.5,13,15,17,0,1,1,7.5,2,7.5,2,2,7.5,15,5.5,2,2
3,3DV2DA,5.5,15,6,15,1,0,1,9.5,9,9,9.5,9.5,9,5.5,6,2,2
7,3DV2DA,9.5,17,12,9.75,1,0,1,7.5,-2.25,-2.25,7.5,7.5,-2.25,9.5,12,2,2
11,3DV2DA,4,9.25,3.75,6.75,1,0,1,5.25,3,3,5.25,5.25,3,4,3.75,2,2
15,3DV2DA,5.75,7,8.67,12.5,1,0,1,1.25,3.83,3.83,1.25,1.25,3.83,5.75,8.67,2,2
19,3DV2DA,5,14,1.17,11.5,1,0,1,9,10.33,10.33,9,9,10.33,5,1.17,2,2
23,3DV2DA,9.5,11.5,2.5,3.5,1,0,1,2,1,1,2,2,1,9.5,2.5,2,2
27,3DV2DA,8.5,11,7.83,9.5,1,0,1,2.5,1.67,1.67,2.5,2.5,1.67,8.5,7.83,2,2
31,3DV2DA,8.25,13.5,1.42,1.83,1,0,1,5.25,0.41,0.41,5.25,5.25,0.41,8.25,1.42,2,2
35,3DV2DA,8.5,18,6.75,14,1,0,1,9.5,7.25,7.25,9.5,9.5,7.25,8.5,6.75,2,2
39,3DV2DA,8,5.25,5,1.67,1,0,1,-2.75,-3.33,-3.33,-2.75,-2.75,-3.33,8,5,2,2
43,3DV2DA,9,8.25,8,10.67,1,0,1,-0.75,2.67,2.67,-0.75,-0.75,2.67,9,8,2,2
47,3DV2DA,11.5,18,7.83,16,1,0,1,6.5,8.17,8.17,6.5,6.5,8.17,11.5,7.83,2,2
55,3DV2DA,9,17,10.83,14,1,0,1,8,3.17,3.17,8,8,3.17,9,10.83,2,2
4,3DA2DV,9.5,11,13,18,1,1,0,1.5,5,5,1.5,5,1.5,13,9.5,2,2
8,3DA2DV,8.5,13,15,17,1,1,0,4.5,2,2,4.5,2,4.5,15,8.5,2,2
16,3DA2DV,9,12,10.5,13.5,1,1,0,3,3,3,3,3,3,10.5,9,2,2
20,3DA2DV,1.67,8.17,10,14,1,1,0,6.5,4,4,6.5,4,6.5,10,1.67,2,2
24,3DA2DV,9.33,12.5,12,15,1,1,0,3.17,3,3,3.17,3,3.17,12,9.33,2,2
32,3DA2DV,5.67,9,5.5,7.5,1,1,0,3.33,2,2,3.33,2,3.33,5.5,5.67,2,2
36,3DA2DV,4,6.42,4.75,10,1,1,0,2.42,5.25,5.25,2.42,5.25,2.42,4.75,4,2,2
40,3DA2DV,8.5,11.5,12,17,1,1,0,3,5,5,3,5,3,12,8.5,2,2
44,3DA2DV,2.5,12.5,17,17,1,1,0,10,0,0,10,0,10,17,2.5,2,2
48,3DA2DV,3.83,12,15,16,1,1,0,8.17,1,1,8.17,1,8.17,15,3.83,2,2
52,3DA2DV,4.83,9,7.25,16,1,1,0,4.17,8.75,8.75,4.17,8.75,4.17,7.25,4.83,2,2
56,3DA2DV,1.67,9.5,6.25,13.5,1,1,0,7.83,7.25,7.25,7.83,7.25,7.83,6.25,1.67,2,2
